description,amount,category
Wallet transfer via Cash (Axis Bank),10253,Transfer
Hospital checkup via Net Banking (HDFC),79,Healthcare
Diagnostic test via Debit Card (PhonePe),9096,Healthcare
Bank transfer via Credit Card (Axis Bank),10208,Transfer
Train ticket via Debit Card (Kotak),1149,Travel
Pharmacy bill via Credit Card (PhonePe),19912,Healthcare
Ajio shopping via Credit Card (ICICI),7294,Shopping
Auto fare via Debit Card (HDFC),16732,Travel
Flight booking via Debit Card (HDFC),10369,Travel
Rapido ride via Cash (Kotak),18589,Travel
Diagnostic test via Credit Card (PhonePe),1009,Healthcare
PPF deposit via Cash (GPay),5718,Investment
Bank transfer via Net Banking (HDFC),6876,Transfer
Coaching class fee via Net Banking (SBI),154,Education
Diesel refill via Cash (PhonePe),11154,Travel
Metro ticket via Net Banking (GPay),7048,Travel
Electricity bill via Credit Card (ICICI),16012,Bills
Petrol pump via Debit Card (GPay),11286,Travel
Concert ticket via Cash (PhonePe),2931,Entertainment
Spotify subscription via Net Banking (PhonePe),3765,Entertainment
Bank transfer via UPI (GPay),2760,Transfer
Diesel refill via Debit Card (Kotak),3046,Travel
Doctor visit via UPI (GPay),10739,Healthcare
Diesel refill via Net Banking (HDFC),18362,Travel
Medical store purchase via UPI (SBI),14150,Healthcare
Movie ticket via Net Banking (Axis Bank),6686,Entertainment
Pizza order via Cash (HDFC),19540,Food
Bank transfer via Cash (ICICI),14929,Transfer
Bakery purchase via Credit Card (Axis Bank),3539,Food
Ajio shopping via Cash (Paytm),10400,Shopping
Online certification via Debit Card (HDFC),12922,Education
Hospital checkup via Cash (Axis Bank),9732,Healthcare
Myntra order via UPI (Axis Bank),3497,Shopping
Myntra order via UPI (SBI),10673,Shopping
Ola cab via UPI (ICICI),4393,Travel
UPI transfer via Debit Card (SBI),4428,Transfer
Diagnostic test via Debit Card (GPay),14530,Healthcare
Train ticket via Cash (Axis Bank),14459,Travel
Movie ticket via UPI (GPay),10535,Entertainment
UPI transfer via Net Banking (Paytm),12618,Transfer
SIP investment via Credit Card (Axis Bank),6674,Investment
Gas bill via Debit Card (Axis Bank),15668,Bills
Amazon shopping via Net Banking (Kotak),4349,Shopping
Medical store purchase via Cash (HDFC),17852,Healthcare
Street food via Net Banking (SBI),6100,Food
Auto fare via Net Banking (Axis Bank),19864,Travel
Petrol pump via Credit Card (PhonePe),7061,Travel
DTH recharge via Net Banking (Axis Bank),13204,Bills
Grocery shopping via Credit Card (Kotak),1297,Food
Diagnostic test via Cash (Axis Bank),17422,Healthcare
PPF deposit via Credit Card (HDFC),8542,Investment
Train ticket via Cash (Kotak),16286,Travel
Metro ticket via Cash (Axis Bank),9637,Travel
Restaurant dinner via Cash (SBI),232,Food
Dominos order via Net Banking (Kotak),4484,Food
Petrol pump via Cash (HDFC),6099,Travel
YouTube Premium via Net Banking (PhonePe),15861,Entertainment
Uber ride via Net Banking (Kotak),3608,Travel
Flipkart order via Debit Card (Paytm),13116,Shopping
Book purchase via Net Banking (PhonePe),13849,Education
Petrol pump via Cash (PhonePe),10563,Travel
Spotify subscription via Net Banking (GPay),12909,Entertainment
Metro ticket via Net Banking (GPay),19454,Travel
Bus fare via Net Banking (PhonePe),6603,Travel
Electricity bill via Credit Card (GPay),1554,Bills
Bakery purchase via Credit Card (SBI),6723,Food
Exam fee via Net Banking (ICICI),18280,Education
NEFT transfer via Cash (Paytm),13837,Transfer
Movie ticket via Net Banking (GPay),8965,Entertainment
Theme park ticket via Net Banking (GPay),13469,Entertainment
Bus fare via UPI (SBI),5226,Travel
Concert ticket via Net Banking (Paytm),17023,Entertainment
PPF deposit via Credit Card (SBI),10445,Investment
Amazon shopping via Credit Card (SBI),7285,Shopping
YouTube Premium via Net Banking (PhonePe),12155,Entertainment
RTGS transfer via UPI (PhonePe),3671,Transfer
Dominos order via Cash (PhonePe),10928,Food
Restaurant dinner via Credit Card (HDFC),9309,Food
Gas bill via Net Banking (PhonePe),10166,Bills
Crypto purchase via Credit Card (Kotak),13918,Investment
Health insurance premium via Net Banking (Kotak),3375,Healthcare
Hospital checkup via UPI (Paytm),18223,Healthcare
Doctor visit via Net Banking (GPay),4149,Healthcare
Auto fare via Debit Card (Kotak),15444,Travel
Water bill via UPI (ICICI),8716,Bills
Movie ticket via Credit Card (Kotak),11943,Entertainment
Metro ticket via Net Banking (ICICI),17383,Travel
Metro ticket via Net Banking (Paytm),6062,Travel
Exam fee via UPI (SBI),1776,Education
Doctor visit via Cash (HDFC),12597,Healthcare
Coaching class fee via Credit Card (ICICI),13857,Education
Theme park ticket via Cash (GPay),3766,Entertainment
PPF deposit via UPI (HDFC),1015,Investment
Stock investment via Cash (SBI),10394,Investment
Doctor visit via Cash (SBI),9215,Healthcare
Electricity bill via Net Banking (GPay),9351,Bills
Credit card bill via UPI (GPay),19732,Bills
Crypto purchase via Cash (SBI),11533,Investment
Flight booking via Cash (PhonePe),6320,Travel
Train ticket via Cash (Paytm),12805,Travel
Movie ticket via UPI (PhonePe),2743,Entertainment
Diagnostic test via Cash (GPay),4399,Healthcare
Wallet transfer via UPI (HDFC),1686,Transfer
Street food via Net Banking (Axis Bank),11030,Food
Hospital checkup via UPI (ICICI),7725,Healthcare
Udemy course via Credit Card (SBI),1180,Education
Concert ticket via Net Banking (PhonePe),12975,Entertainment
Electricity bill via UPI (ICICI),75,Bills
Auto fare via UPI (ICICI),11254,Travel
Pharmacy bill via UPI (Axis Bank),12305,Healthcare
UPI transfer via UPI (Kotak),6595,Transfer
Dominos order via Cash (SBI),16228,Food
Theme park ticket via Debit Card (SBI),16467,Entertainment
Supermarket shopping via Debit Card (Axis Bank),5289,Shopping
NEFT transfer via Credit Card (Paytm),2390,Transfer
Uber ride via Net Banking (HDFC),16158,Travel
Ajio shopping via Credit Card (Axis Bank),5195,Shopping
Mutual fund purchase via UPI (Paytm),3531,Investment
Local market purchase via Credit Card (Axis Bank),8755,Shopping
Exam fee via UPI (ICICI),16867,Education
Crypto purchase via Credit Card (Axis Bank),2975,Investment
Bank transfer via Net Banking (Paytm),9692,Transfer
Amazon shopping via Debit Card (PhonePe),7597,Shopping
RTGS transfer via UPI (ICICI),19021,Transfer
Electricity bill via Credit Card (Axis Bank),17851,Bills
FD investment via Credit Card (GPay),14709,Investment
Movie ticket via Debit Card (GPay),9074,Entertainment
Theme park ticket via Debit Card (ICICI),3948,Entertainment
Medical store purchase via Debit Card (ICICI),13645,Healthcare
Crypto purchase via UPI (Kotak),9465,Investment
Theme park ticket via Net Banking (HDFC),12407,Entertainment
Pizza order via Cash (GPay),19910,Food
KFC meal via UPI (HDFC),14749,Food
YouTube Premium via UPI (Paytm),18148,Entertainment
College fee via Net Banking (ICICI),5533,Education
YouTube Premium via Cash (GPay),5663,Entertainment
Bakery purchase via Net Banking (Paytm),11619,Food
DTH recharge via Cash (GPay),12142,Bills
Petrol pump via Cash (Paytm),2702,Travel
Pizza order via Credit Card (Paytm),5172,Food
Street food via Debit Card (Axis Bank),18415,Food
FD investment via Debit Card (ICICI),4826,Investment
Mutual fund purchase via Net Banking (HDFC),11035,Investment
Dominos order via Credit Card (ICICI),19517,Food
Water bill via Cash (PhonePe),1863,Bills
Book purchase via UPI (ICICI),14035,Education
Street food via UPI (Paytm),13762,Food
Stock investment via UPI (ICICI),5230,Investment
UPI transfer via UPI (HDFC),9230,Transfer
Medical store purchase via Cash (GPay),11861,Healthcare
Netflix subscription via Cash (Axis Bank),15200,Entertainment
Diagnostic test via Debit Card (GPay),1036,Healthcare
DTH recharge via UPI (Paytm),18092,Bills
Stock investment via Cash (Axis Bank),16522,Investment
UPI transfer via Debit Card (HDFC),17989,Transfer
Supermarket shopping via Credit Card (Kotak),11102,Shopping
Myntra order via UPI (Kotak),18504,Shopping
Medical store purchase via Cash (Kotak),16450,Healthcare
Medical store purchase via Net Banking (HDFC),6764,Healthcare
Wallet transfer via Cash (Kotak),18496,Transfer
Mobile recharge via Debit Card (Axis Bank),4164,Bills
Exam fee via Cash (GPay),14734,Education
Gas bill via UPI (Kotak),10927,Bills
Crypto purchase via Credit Card (PhonePe),6013,Investment
Local market purchase via UPI (Kotak),11612,Shopping
Medical store purchase via Net Banking (SBI),13133,Healthcare
Theme park ticket via Credit Card (Kotak),7086,Entertainment
Electricity bill via Debit Card (HDFC),6172,Bills
Bus fare via Cash (GPay),6925,Travel
Exam fee via Credit Card (Kotak),19708,Education
Ola cab via Credit Card (GPay),12386,Travel
Bank transfer via Credit Card (HDFC),10005,Transfer
Swiggy order via Cash (ICICI),363,Food
Uber ride via Cash (SBI),1449,Travel
DTH recharge via Credit Card (ICICI),1434,Bills
Online certification via Net Banking (GPay),4455,Education
Petrol pump via Debit Card (ICICI),8787,Travel
Spotify subscription via Net Banking (Kotak),17508,Entertainment
Grocery shopping via Debit Card (PhonePe),17252,Food
Crypto purchase via UPI (HDFC),9557,Investment
SIP investment via Credit Card (SBI),2548,Investment
Theme park ticket via UPI (HDFC),11099,Entertainment
Health insurance premium via Net Banking (HDFC),2937,Healthcare
Amazon shopping via Credit Card (GPay),633,Shopping
Flight booking via Net Banking (HDFC),8166,Travel
Water bill via Net Banking (SBI),16440,Bills
Wallet transfer via UPI (Axis Bank),18917,Transfer
Water bill via Cash (ICICI),15837,Bills
Movie ticket via Cash (GPay),9597,Entertainment
Electricity bill via UPI (Paytm),11103,Bills
Book purchase via Credit Card (ICICI),19039,Education
Udemy course via Net Banking (SBI),12699,Education
Online certification via Debit Card (HDFC),1478,Education
Grocery shopping via Credit Card (PhonePe),19563,Food
Doctor visit via Cash (SBI),9712,Healthcare
Doctor visit via Credit Card (SBI),11521,Healthcare
Health insurance premium via UPI (Paytm),11080,Healthcare
Crypto purchase via Cash (Paytm),6253,Investment
Gas bill via UPI (GPay),17777,Bills
Water bill via Cash (GPay),12006,Bills
IMPS transfer via UPI (HDFC),7508,Transfer
Local market purchase via Credit Card (Kotak),12035,Shopping
Pharmacy bill via Debit Card (HDFC),10188,Healthcare
Spotify subscription via Credit Card (Paytm),11567,Entertainment
PPF deposit via Credit Card (Paytm),16819,Investment
Mobile recharge via Credit Card (GPay),6687,Bills
Myntra order via Net Banking (HDFC),12111,Shopping
Diesel refill via Debit Card (HDFC),16026,Travel
RTGS transfer via Debit Card (SBI),3137,Transfer
Netflix subscription via Debit Card (PhonePe),4134,Entertainment
Uber ride via Cash (HDFC),16039,Travel
Game purchase via UPI (GPay),11612,Entertainment
NEFT transfer via Debit Card (Axis Bank),10144,Transfer
Flipkart order via Debit Card (Kotak),582,Shopping
Petrol pump via Credit Card (PhonePe),4173,Travel
Exam fee via Debit Card (GPay),14385,Education
Online certification via Debit Card (HDFC),10637,Education
Udemy course via UPI (SBI),11452,Education
Theme park ticket via Cash (Paytm),280,Entertainment
PPF deposit via Debit Card (HDFC),17968,Investment
Bus fare via Cash (ICICI),2639,Travel
Pizza order via Cash (Kotak),18845,Food
Clothing purchase via Debit Card (Axis Bank),17926,Shopping
FD investment via UPI (SBI),3713,Investment
Dominos order via Debit Card (GPay),19693,Food
Medical store purchase via Debit Card (Axis Bank),4128,Healthcare
Online certification via Net Banking (Paytm),19281,Education
Broadband bill via Debit Card (Paytm),11700,Bills
Stock investment via Net Banking (Kotak),4722,Investment
Course fee via Credit Card (HDFC),2404,Education
Netflix subscription via Cash (ICICI),2524,Entertainment
Online certification via Debit Card (GPay),1168,Education
Ola cab via UPI (SBI),9874,Travel
Rapido ride via UPI (GPay),10782,Travel
Clothing purchase via Credit Card (Paytm),16641,Shopping
Credit card bill via UPI (Axis Bank),9488,Bills
Electricity bill via Cash (Axis Bank),9097,Bills
Train ticket via UPI (GPay),18286,Travel
Petrol pump via Net Banking (Paytm),13077,Travel
UPI transfer via UPI (ICICI),10697,Transfer
Theme park ticket via Debit Card (Kotak),10440,Entertainment
College fee via Net Banking (PhonePe),4981,Education
PPF deposit via Net Banking (GPay),14736,Investment
PPF deposit via Credit Card (GPay),1147,Investment
Stock investment via Debit Card (Paytm),14815,Investment
Credit card bill via Cash (HDFC),3059,Bills
DTH recharge via Net Banking (Kotak),16983,Bills
Electricity bill via Debit Card (ICICI),15882,Bills
Auto fare via UPI (PhonePe),14361,Travel
IMPS transfer via Net Banking (GPay),6469,Transfer
Medical store purchase via Cash (HDFC),1862,Healthcare
FD investment via Debit Card (GPay),3434,Investment
Swiggy order via UPI (Axis Bank),18495,Food
Electricity bill via UPI (PhonePe),5092,Bills
UPI transfer via Debit Card (Axis Bank),12999,Transfer
Cafe coffee via Cash (PhonePe),7426,Food
Internet recharge via Credit Card (SBI),10375,Bills
Swiggy order via Cash (Paytm),14617,Food
Auto fare via Cash (PhonePe),2385,Travel
Uber ride via Credit Card (Paytm),6160,Travel
Pizza order via UPI (PhonePe),13142,Food
Local market purchase via UPI (Kotak),2853,Shopping
Bus fare via Credit Card (SBI),1380,Travel
Street food via Cash (Kotak),11161,Food
Supermarket shopping via Cash (PhonePe),9616,Shopping
Ola cab via Debit Card (ICICI),4845,Travel
Petrol pump via Debit Card (PhonePe),12740,Travel
FD investment via UPI (HDFC),17216,Investment
Hospital checkup via UPI (ICICI),8344,Healthcare
Pizza order via Net Banking (PhonePe),19184,Food
Coaching class fee via Debit Card (ICICI),12157,Education
Restaurant dinner via UPI (ICICI),613,Food
Electronics purchase via Net Banking (Axis Bank),1429,Shopping
Netflix subscription via UPI (Paytm),6248,Entertainment
Diesel refill via Debit Card (HDFC),11611,Travel
Street food via Debit Card (Paytm),851,Food
Doctor visit via UPI (SBI),11805,Healthcare
Coaching class fee via Cash (Paytm),15126,Education
Wallet transfer via Cash (Axis Bank),17521,Transfer
Supermarket shopping via Net Banking (Kotak),8588,Shopping
Clothing purchase via Credit Card (GPay),464,Shopping
Theme park ticket via Debit Card (PhonePe),17112,Entertainment
Pizza order via UPI (Paytm),3610,Food
Electricity bill via Cash (GPay),8388,Bills
Electricity bill via UPI (HDFC),9459,Bills
Stock investment via Debit Card (Kotak),7805,Investment
Medical store purchase via Cash (Kotak),12532,Healthcare
Amazon shopping via Credit Card (Kotak),16079,Shopping
Auto fare via Credit Card (Kotak),15534,Travel
Pharmacy bill via Credit Card (Axis Bank),4233,Healthcare
Flipkart order via Cash (ICICI),16981,Shopping
Water bill via Debit Card (PhonePe),12828,Bills
IMPS transfer via Cash (SBI),2511,Transfer
Credit card bill via Cash (Paytm),8989,Bills
Crypto purchase via UPI (HDFC),8499,Investment
College fee via Credit Card (GPay),1290,Education
Spotify subscription via Cash (HDFC),17350,Entertainment
Cafe coffee via UPI (Kotak),13591,Food
Uber ride via UPI (ICICI),13692,Travel
Online certification via UPI (Kotak),16867,Education
UPI transfer via Credit Card (ICICI),18205,Transfer
Flight booking via Net Banking (HDFC),9547,Travel
Metro ticket via Debit Card (GPay),4598,Travel
Petrol pump via Cash (Kotak),17915,Travel
UPI transfer via Cash (Kotak),16577,Transfer
Stock investment via UPI (GPay),17656,Investment
Bank transfer via Credit Card (SBI),9910,Transfer
Doctor visit via UPI (PhonePe),3582,Healthcare
Stock investment via Debit Card (HDFC),9683,Investment
Auto fare via Credit Card (Paytm),12119,Travel
Swiggy order via Credit Card (Axis Bank),12796,Food
Ajio shopping via UPI (ICICI),1173,Shopping
Flipkart order via UPI (PhonePe),8774,Shopping
Wallet transfer via Debit Card (ICICI),15477,Transfer
NEFT transfer via Debit Card (Kotak),12319,Transfer
Petrol pump via Cash (ICICI),17032,Travel
Zomato food delivery via Net Banking (SBI),6378,Food
Doctor visit via Net Banking (HDFC),15799,Healthcare
Course fee via Cash (Kotak),2629,Education
Theme park ticket via Cash (ICICI),12396,Entertainment
Theme park ticket via Cash (Paytm),11912,Entertainment
Doctor visit via Credit Card (GPay),4535,Healthcare
Restaurant dinner via Debit Card (Axis Bank),9790,Food
Metro ticket via Credit Card (Axis Bank),6102,Travel
Amazon shopping via Cash (GPay),15484,Shopping
Rapido ride via Credit Card (ICICI),10783,Travel
Movie ticket via Credit Card (Kotak),5934,Entertainment
YouTube Premium via Debit Card (ICICI),18879,Entertainment
Ajio shopping via Debit Card (PhonePe),493,Shopping
Coaching class fee via Cash (HDFC),8629,Education
Amazon shopping via Debit Card (SBI),18577,Shopping
Diagnostic test via Credit Card (PhonePe),7571,Healthcare
Cafe coffee via UPI (GPay),4328,Food
Exam fee via Credit Card (Axis Bank),16326,Education
Health insurance premium via Net Banking (PhonePe),16899,Healthcare
Bank transfer via UPI (ICICI),1727,Transfer
Health insurance premium via UPI (SBI),15559,Healthcare
DTH recharge via Debit Card (HDFC),19170,Bills
College fee via UPI (Axis Bank),18711,Education
Hospital checkup via Cash (Paytm),10684,Healthcare
Street food via Cash (SBI),2523,Food
Online certification via Cash (Kotak),5853,Education
Course fee via UPI (Axis Bank),12664,Education
Petrol pump via Net Banking (GPay),18763,Travel
Theme park ticket via Credit Card (GPay),18673,Entertainment
Water bill via Cash (Axis Bank),1869,Bills
NEFT transfer via UPI (SBI),12912,Transfer
Medical store purchase via Credit Card (Axis Bank),11605,Healthcare
Online certification via UPI (Kotak),8096,Education
Pharmacy bill via UPI (Paytm),15825,Healthcare
Supermarket shopping via Credit Card (ICICI),5833,Shopping
Myntra order via Debit Card (ICICI),14790,Shopping
Pharmacy bill via Cash (GPay),5566,Healthcare
DTH recharge via Cash (PhonePe),12290,Bills
Ajio shopping via Credit Card (GPay),12018,Shopping
Doctor visit via UPI (GPay),3028,Healthcare
Pharmacy bill via Cash (HDFC),6602,Healthcare
Zomato food delivery via Credit Card (Paytm),4307,Food
Amazon shopping via UPI (SBI),16541,Shopping
Hospital checkup via Debit Card (ICICI),8513,Healthcare
Internet recharge via Cash (SBI),17780,Bills
Water bill via Credit Card (PhonePe),6392,Bills
Concert ticket via Debit Card (PhonePe),17277,Entertainment
Coaching class fee via UPI (PhonePe),3569,Education
Doctor visit via Debit Card (SBI),14659,Healthcare
Mobile recharge via Cash (GPay),10233,Bills
Local market purchase via Credit Card (Paytm),10195,Shopping
Dominos order via Credit Card (SBI),13134,Food
Petrol pump via Net Banking (Paytm),12912,Travel
Medical store purchase via UPI (HDFC),19032,Healthcare
Health insurance premium via Net Banking (Axis Bank),9489,Healthcare
Course fee via Debit Card (HDFC),12787,Education
College fee via Net Banking (HDFC),17053,Education
Online certification via Credit Card (Paytm),7349,Education
SIP investment via UPI (ICICI),6576,Investment
YouTube Premium via Credit Card (SBI),2651,Entertainment
Bus fare via Debit Card (GPay),2056,Travel
Gas bill via Cash (GPay),7019,Bills
Street food via UPI (ICICI),1488,Food
Uber ride via Credit Card (PhonePe),5205,Travel
Online certification via Cash (ICICI),15356,Education
Ajio shopping via UPI (HDFC),4383,Shopping
Local market purchase via Credit Card (ICICI),10074,Shopping
Ajio shopping via Debit Card (Kotak),6639,Shopping
Flight booking via Net Banking (Kotak),15458,Travel
IMPS transfer via Net Banking (HDFC),14735,Transfer
YouTube Premium via UPI (PhonePe),10202,Entertainment
Zomato food delivery via Debit Card (HDFC),12087,Food
Mutual fund purchase via Debit Card (ICICI),5054,Investment
Crypto purchase via Credit Card (Axis Bank),11503,Investment
Flipkart order via Net Banking (HDFC),17458,Shopping
Clothing purchase via Net Banking (Axis Bank),2893,Shopping
Electronics purchase via UPI (SBI),15656,Shopping
Theme park ticket via Debit Card (Axis Bank),15352,Entertainment
Netflix subscription via Debit Card (SBI),8596,Entertainment
Amazon shopping via UPI (ICICI),12555,Shopping
UPI transfer via Debit Card (HDFC),380,Transfer
Diesel refill via Credit Card (PhonePe),18162,Travel
Udemy course via Net Banking (HDFC),17976,Education
UPI transfer via Cash (Paytm),8991,Transfer
Zomato food delivery via Debit Card (Axis Bank),18718,Food
Credit card bill via Credit Card (Kotak),3860,Bills
Mutual fund purchase via Cash (SBI),17069,Investment
Diagnostic test via Credit Card (HDFC),5497,Healthcare
Amazon shopping via Net Banking (Kotak),16358,Shopping
Diagnostic test via Net Banking (GPay),8219,Healthcare
Internet recharge via Credit Card (HDFC),3183,Bills
Internet recharge via Cash (Paytm),5159,Bills
Diagnostic test via Cash (GPay),14954,Healthcare
Crypto purchase via Debit Card (Kotak),14136,Investment
Clothing purchase via Credit Card (Paytm),18700,Shopping
PPF deposit via UPI (HDFC),18855,Investment
Netflix subscription via UPI (SBI),9232,Entertainment
Broadband bill via Cash (PhonePe),6449,Bills
Auto fare via Net Banking (HDFC),8061,Travel
Broadband bill via Credit Card (GPay),6330,Bills
Online certification via Cash (Kotak),13877,Education
Coaching class fee via Cash (Paytm),11244,Education
Wallet transfer via Net Banking (HDFC),14280,Transfer
Bus fare via Cash (SBI),3235,Travel
Book purchase via Credit Card (Kotak),8817,Education
Stock investment via Credit Card (SBI),11679,Investment
Stock investment via Net Banking (ICICI),2532,Investment
Pizza order via Cash (Axis Bank),2785,Food
Dominos order via Net Banking (Axis Bank),5120,Food
Grocery shopping via Credit Card (Paytm),16464,Food
KFC meal via UPI (Paytm),16134,Food
Dominos order via Credit Card (Kotak),6866,Food
Udemy course via Debit Card (HDFC),848,Education
Grocery shopping via Net Banking (Kotak),7602,Food
Hospital checkup via Cash (SBI),3481,Healthcare
Online certification via Net Banking (Axis Bank),15387,Education
Theme park ticket via Net Banking (HDFC),14421,Entertainment
Book purchase via Net Banking (HDFC),8945,Education
Wallet transfer via UPI (SBI),12697,Transfer
Grocery shopping via Debit Card (Kotak),13321,Food
Wallet transfer via Credit Card (HDFC),11232,Transfer
Movie ticket via Credit Card (Axis Bank),13090,Entertainment
Coaching class fee via Net Banking (PhonePe),12220,Education
Online certification via Cash (GPay),11872,Education
Rapido ride via Debit Card (Kotak),314,Travel
UPI transfer via Cash (SBI),12293,Transfer
SIP investment via Net Banking (HDFC),10546,Investment
Gas bill via UPI (ICICI),13165,Bills
Cafe coffee via Credit Card (HDFC),9758,Food
College fee via Net Banking (PhonePe),13173,Education
IMPS transfer via Debit Card (GPay),1650,Transfer
KFC meal via Net Banking (Kotak),18067,Food
Zomato food delivery via Cash (Paytm),10349,Food
Bakery purchase via Net Banking (ICICI),18414,Food
Cafe coffee via Credit Card (GPay),12493,Food
Grocery shopping via Cash (Paytm),18107,Food
Metro ticket via UPI (HDFC),904,Travel
Flipkart order via Net Banking (Kotak),7424,Shopping
Udemy course via Credit Card (Axis Bank),9481,Education
Wallet transfer via Debit Card (HDFC),11584,Transfer
Credit card bill via Net Banking (Axis Bank),13536,Bills
Theme park ticket via Net Banking (SBI),13313,Entertainment
Clothing purchase via Debit Card (Axis Bank),7408,Shopping
Game purchase via Credit Card (SBI),6642,Entertainment
Flipkart order via UPI (Axis Bank),13358,Shopping
Local market purchase via Credit Card (PhonePe),10156,Shopping
Zomato food delivery via Credit Card (HDFC),4750,Food
Udemy course via Cash (GPay),18465,Education
Wallet transfer via Debit Card (Axis Bank),3709,Transfer
Credit card bill via Credit Card (GPay),12034,Bills
Rapido ride via Debit Card (Axis Bank),13459,Travel
FD investment via Debit Card (Paytm),11599,Investment
Flipkart order via Debit Card (PhonePe),14468,Shopping
Local market purchase via UPI (HDFC),10768,Shopping
Pharmacy bill via UPI (HDFC),15490,Healthcare
Medical store purchase via Debit Card (PhonePe),1708,Healthcare
PPF deposit via Debit Card (SBI),7719,Investment
Udemy course via Cash (Axis Bank),13684,Education
Pizza order via Cash (SBI),17447,Food
YouTube Premium via Credit Card (HDFC),14354,Entertainment
Flipkart order via Debit Card (ICICI),12790,Shopping
Netflix subscription via Credit Card (Paytm),10674,Entertainment
Online certification via UPI (Axis Bank),4617,Education
SIP investment via Debit Card (Kotak),18125,Investment
FD investment via UPI (ICICI),5772,Investment
College fee via Cash (ICICI),10795,Education
SIP investment via Net Banking (Axis Bank),7990,Investment
Online certification via Credit Card (PhonePe),11092,Education
Crypto purchase via UPI (HDFC),8805,Investment
RTGS transfer via UPI (Kotak),18804,Transfer
College fee via Credit Card (Axis Bank),16824,Education
Theme park ticket via UPI (PhonePe),19808,Entertainment
DTH recharge via UPI (HDFC),14174,Bills
Electricity bill via Net Banking (PhonePe),13743,Bills
Broadband bill via UPI (ICICI),18385,Bills
SIP investment via Cash (Paytm),1329,Investment
Supermarket shopping via Credit Card (ICICI),9419,Shopping
Supermarket shopping via Cash (Kotak),12630,Shopping
Electronics purchase via UPI (SBI),19122,Shopping
Restaurant dinner via Net Banking (Axis Bank),9322,Food
Local market purchase via Net Banking (ICICI),19655,Shopping
Stock investment via Cash (Kotak),19571,Investment
Health insurance premium via Credit Card (Paytm),8399,Healthcare
Street food via Credit Card (SBI),4556,Food
DTH recharge via Cash (Axis Bank),2413,Bills
Gas bill via Cash (ICICI),1654,Bills
Game purchase via Debit Card (SBI),644,Entertainment
Hospital checkup via Credit Card (SBI),11401,Healthcare
Udemy course via Debit Card (SBI),10442,Education
Flipkart order via Debit Card (SBI),16290,Shopping
Doctor visit via Debit Card (PhonePe),1681,Healthcare
Local market purchase via Net Banking (HDFC),9809,Shopping
Electricity bill via UPI (GPay),3802,Bills
Diesel refill via Net Banking (HDFC),2902,Travel
Doctor visit via Cash (GPay),926,Healthcare
Dominos order via Debit Card (ICICI),14750,Food
Electronics purchase via UPI (HDFC),12138,Shopping
KFC meal via Cash (GPay),13191,Food
Dominos order via Credit Card (ICICI),12520,Food
SIP investment via Debit Card (GPay),5490,Investment
Gas bill via UPI (Paytm),19175,Bills
Concert ticket via Cash (Kotak),19897,Entertainment
KFC meal via Credit Card (ICICI),4137,Food
YouTube Premium via Credit Card (Kotak),12990,Entertainment
Myntra order via Net Banking (Axis Bank),14014,Shopping
IMPS transfer via UPI (SBI),1567,Transfer
Gas bill via Credit Card (SBI),7310,Bills
Rapido ride via Cash (ICICI),7203,Travel
Zomato food delivery via UPI (ICICI),13583,Food
Water bill via Cash (Kotak),1404,Bills
Bank transfer via Cash (Axis Bank),13656,Transfer
RTGS transfer via Cash (Kotak),1625,Transfer
Pharmacy bill via UPI (PhonePe),330,Healthcare
Internet recharge via Debit Card (SBI),16826,Bills
Train ticket via Debit Card (PhonePe),156,Travel
Game purchase via Credit Card (Axis Bank),4336,Entertainment
Metro ticket via Debit Card (PhonePe),13895,Travel
FD investment via Credit Card (ICICI),9948,Investment
Wallet transfer via Debit Card (HDFC),15521,Transfer
Pharmacy bill via Net Banking (HDFC),19628,Healthcare
Doctor visit via Net Banking (SBI),1384,Healthcare
Course fee via Credit Card (GPay),16821,Education
SIP investment via Net Banking (Kotak),14329,Investment
Game purchase via Cash (GPay),8937,Entertainment
Restaurant dinner via Net Banking (HDFC),3794,Food
Online certification via UPI (PhonePe),16161,Education
Amazon shopping via Debit Card (GPay),18428,Shopping
Medical store purchase via UPI (Kotak),19152,Healthcare
Mutual fund purchase via Net Banking (HDFC),16458,Investment
Restaurant dinner via Debit Card (Kotak),4270,Food
YouTube Premium via Net Banking (PhonePe),2208,Entertainment
Internet recharge via UPI (SBI),3939,Bills
Health insurance premium via Debit Card (Kotak),6654,Healthcare
Bus fare via Net Banking (Paytm),19775,Travel
Diagnostic test via Debit Card (PhonePe),2002,Healthcare
Movie ticket via Net Banking (SBI),14199,Entertainment
Spotify subscription via Net Banking (SBI),17936,Entertainment
Flight booking via Debit Card (GPay),5648,Travel
SIP investment via UPI (SBI),11388,Investment
Pharmacy bill via Debit Card (Paytm),9996,Healthcare
Netflix subscription via Cash (SBI),133,Entertainment
Crypto purchase via Debit Card (Paytm),11490,Investment
Theme park ticket via Cash (Axis Bank),1609,Entertainment
Pharmacy bill via Debit Card (SBI),16433,Healthcare
Grocery shopping via Debit Card (PhonePe),8724,Food
YouTube Premium via Net Banking (ICICI),11633,Entertainment
Mutual fund purchase via Net Banking (Kotak),11717,Investment
Dominos order via Credit Card (ICICI),7178,Food
UPI transfer via Credit Card (PhonePe),12159,Transfer
Flipkart order via Net Banking (PhonePe),12935,Shopping
